StationCode,SampleTime,SampleID,Category_Final,PlasticType_Final,Color_Final,Treatment,SampleDate,SampleTypeCode,MatrixName,MethodName,AnalyteName,LabSampleID,Length.mm,Width.mm,Raman.ID,Remove_Flag,ScreenSize,Volume.L
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fragment,,clear,Secondary,2017-09-07,Field,Effluent,,,121,0.98,0.461,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Foam,Anthropogenic (synthetic),black,Secondary,2017-09-07,Field,effluent,FTIR,Anthropogenic (synthetic) Foam,27,1.029,0.775,Transmission 1 #9120541 (gear oil),Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,black,Secondary,2017-09-07,Field,Effluent,,,106,3.493,0.012,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,black,Secondary,2017-09-07,Field,Effluent,,,170,2.286,0.025,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,dark blue,Secondary,2017-09-07,Field,Effluent,,,158,0.47,0.015,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,green,Secondary,2017-09-07,Field,Effluent,,,128,0.979,0.023,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,Anthropogenic (unknown base),dark blue,Secondary,2017-09-07,Field,Effluent,Raman,Anthropogenic (unknown base) Fiber,45,2.231,0.029,looks like cotton - Indigo Carmine,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,black,Secondary,2017-09-07,Field,Effluent,,,141,0.888,0.022,,Count,355,3244.09637
CCCSD,A,20170907-MMP-EFF-CCSD-355,Fiber,,blue,Secondary,2017-09-07,Field,Effluent,,,64,2.557,0.016,,Count,355,3244.09637
CCCSD,A,20170907MMP-Eff-CCCSD-125,Fiber,Anthropogenic (unknown base),black,Secondary,2017-09-07,Field,Effluent,Raman,Anthropogenic (unknown base) Fiber,49,0.992,0.014,amido black 10B,Count,125,3244.09637
