No,Direc.,Polymer,Shape,a  [mm],b  [mm],c  [mm],Density  [g/cm³],dequi [m],CSF,Powers ,Kin.  viscosity  [m²/s],1.1,1.2,2.1,2.2,3.1,3.2,Mean  Velocity 
18,rising,PE,Film,5.81,3.76,0.47,0.983,0.0023,0.048,5.1,1.00E-06,0.46,0.54,0.42,0.5,0.37,0.48,0.46
19,settling,PVC,Fragment,5.58,4.45,0.98,1.5,0.0018,0.1212,3.2,1.00E-06,3.62,3.54,3.7,3.18,3.51,3.58,3.52
20,settling,other,Foam,5.48,2.54,1.14,1.3268,0.0025,0.0809,4.5,1.00E-06,1.93,1.71,1.88,1.76,2.4,2.04,1.96
21,settling,other,Film,8.75,6.34,0.59,1.2894,0.0008,0.0121,4.7,1.00E-06,0.73,0.67,0.67,0.98,0.88,0.79,0.79
22,settling,PVC,Film,7.53,5.58,1.74,1.2966,0.0011,0.0074,4.1,1.00E-06,1.58,1.53,1.66,1.51,1.66,1.52,1.58
23,settling,PE,Film,5.71,4.06,0.16,1.047,0.0013,0.0019,2.7,1.00E-06,0.6,0.76,0.46,0.61,0.53,0.5,0.58
24,settling,PE,Film,8.98,6.83,0.11,1.0008,0.0014,0.003,3.5,1.00E-06,0.45,0.35,0.35,0.46,1.05,0.73,0.57
25,settling,other,Film,36.02,16.42,0.07,1.216,0.0012,0.0064,4.6,1.00E-06,1.51,1.25,0.97,0.84,1.3,0.75,1.1
26,settling,PS,Film,19.11,17.33,1.32,1.0286,0.001,0.0784,4.8,1.00E-06,1.31,1.29,1.13,1.17,1.21,1.54,1.27
27,settling,other,Film,9.61,3.58,0.06,1.229,0.0006,0.0831,5.4,1.00E-06,0.94,0.92,0.67,0.76,0.94,0.68,0.82
30,rising,EPS,Foam,5.78,4.69,0.06,0.02,0.0026,0.4503,5.4,1.00E-06,15.67,15.44,14.89,14.89,14.69,14.58,15.03
31,rising,PP,Pellet,15.84,10.79,0.07,0.814,0.0035,0.8885,5.7,1.00E-06,9.55,9.17,8.9,9.33,8.86,9.29,9.18
34,rising,PP,Fragment,42.78,42.63,16.03,0.8626,0.0032,0.2071,4.9,1.00E-06,3.86,3.98,3.36,3.29,3.76,3.39,3.61
35,settling,PP,Film,11.36,5.13,0.86,1.0136,0.0009,0.0281,3.7,1.00E-06,0.32,0.35,0.3,0.27,0.37,0.43,0.34
36,rising,PE,Pellet,3.91,2.93,1.48,0.814,0.0052,0.358,5.8,1.00E-06,6.69,6.33,6.1,5.95,5.87,5.72,6.11
38,rising,PE,Pellet,7.27,6.42,2.39,0.9162,0.0031,0.6026,5.4,1.00E-06,4.17,4.56,4.64,4.85,4.4,4.33,4.49
40,rising,EPS,Foam,4.72,4.56,1.87,0.02,0.0022,0.1006,4.5,1.00E-06,9.86,10.05,9.77,9.5,4.69,4.75,8.1
41,rising,PE,Film,14.98,11.93,0.13,0.814,0.0021,0.0077,4.8,1.00E-06,2.97,2.88,2.07,2.19,2,2.11,2.37
43,rising,PE,Film,31.48,9.88,4.98,0.8626,0.001,0.0076,5.5,1.00E-06,0.21,0.58,0.4,0.41,0.36,0.43,0.4
44,settling,PE,Film,30.86,8.47,5.85,1.0186,0.0013,0.0121,4,1.00E-06,0.4,0.44,0.5,0.29,0.35,0.48,0.41
45,settling,PP,Film,4.37,3.34,3.05,1.0186,0.0015,0.0059,5.1,1.00E-06,0.47,0.49,0.57,0.64,0.81,0.48,0.58
46,settling,other,Film,3.78,3.54,3.25,1.001,0.0014,0.0049,3.1,1.00E-06,0.52,0.51,0.4,0.49,0.35,0.5,0.46
