StationCode,Watershed,SampleID,SizeFraction_AW,SampleGross_AW,SampleType_AW,Number,LabSampleID,Length.mm,Width.mm,PlasticType_Final,Category_Final,Color_Final,Raman.ID,Remove_Flag
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1783,76,0.628,0.345,Polytetrafluoroethylene,Fragment,Clear,Poly(tetrafluoroethylene),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1818,111,0.482,0.34,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1750,43,3.753,0.039,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1758,51,2.095,0.023,,Fiber,Brown,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1785,78,0.856,0.023,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1760,53,1.066,0.012,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1722,15,0.333,0.026,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1739,32,1.252,0.635,,Fragment,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1779,72,1.147,0.493,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1883,176,0.633,0.298,,Fragment,Green,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1711,4,4.194,0.013,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1805,98,1.503,0.031,Polyester,Fiber,Black,5-Nitroisatin + Polyester + Amido Black 10B (composite),Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1825,118,0.333,0.198,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1730,23,16.405,0.018,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1842,135,1.419,0.014,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1724,17,0.533,0.027,,Fiber,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1808,101,1.41,0.011,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1848,141,1.564,0.018,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1765,58,1.006,0.645,,Fragment,Grey,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1886,,,,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1764,57,1.93,0.019,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1864,157,0.256,0.184,Anthropogenic (synthetic),Fragment,Green,"3,3'-Diaminobenzidine + Amido Black 10B (composite)",Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1869,162,1.076,0.025,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1823,116,0.644,0.251,Polyethylene,Film,Clear,PE5 Green Microsphere,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1744,37,1.135,0.106,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1843,136,0.485,0.122,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1885,,,,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1868,161,1.168,0.026,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1827,120,0.217,0.176,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1799,92,2.111,0.05,,Fragment,Pink,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1882,175,0.208,0.045,,Fragment,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1748,41,0.943,0.011,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1786,79,1.111,0.37,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1715,8,0.493,0.021,Polyester,Fiber,Clear,Polyester,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1855,148,0.885,0.016,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1837,130,0.225,0.176,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1819,112,0.515,0.267,Rubber,Fragment,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1862,155,1.162,0.014,,Fiber,Black,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,125um-355um,Field,Field,1840,133,1.16,0.029,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1770,63,3.109,0.012,,Fiber,Pink,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1759,52,0.545,0.014,,Fiber,Dark Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,355um-500um,Field,Field,1810,103,0.77,0.032,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,>1mm,Field,Field,1720,13,1.474,0.053,,Fiber,Clear,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1774,67,1.268,0.02,,Fiber,Blue,,Count
Line 12F below PG&E station,Line 12F,125uM-17-POC-100,500um-1mm,Field,Field,1776,69,0.287,0.02,Anthropogenic (unknown base),Fiber,Blue,Indigo carmine  ,Count
