,part_per_mass,part_per_mass_raw,total_particles,total_mass,agg_part_per_mass,code,x,y,comment
Central Bay,1.5656682010692176,1.6753333250475546,755,500.4,1.508792965627498,CB,555693.0,4190807.0,
Lower South Bay,4.131815192574946,5.599724538415724,331,68.2,4.853372434017595,LSB,581612.0,4148286.0,
San Pablo Bay,0.9267316439246264,1.1529651288715617,338,326.0,1.0368098159509203,SPB,553500.0,4213639.0,
South Bay,0.30660594138442243,0.34602083095753977,95,414.0,0.22946859903381642,SB,564992.0,4166840.0,
Southern Sloughs,5.399811588649136,6.602341508469912,304,54.1,5.619223659889094,SOSL,587722.0,4144760.0," ""approx loc!"""
Suisun Bay,0.10208345951184059,0.14283659378596086,26,194.1,0.13395157135497165,SUB,583062.0,4216210.0,
Tomales Bay,0.10247677324163734,0.1432690590886601,43,300.1,0.1432855714761746,TB,509000.0,4223913.0,
