SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,Fiber Bundle,Film,Foam,Fragment,Sphere,Fiber Bundle_adj,Fragment_adj,Foam_adj,Film_adj,Sphere_adj,count,part_per_m3,part_per_m2,x,y
CBNMS22-Manta-30Mar2018,142205.667806268,1496.9017663817701,14,38.0576588625,-123.09298554166668,2018-03-30,Wet,Trawl,0.0,1.0,1.0,11.0,1.0,0.0,8.5,0.8333333333333334,1.0,1.0,11.333333333333334,0.07969677656430087,0.007571193773608573,491842.5131656038,4212216.502460302
CBNMS23-Manta-12Sept2017,100062.234211134,1053.28667590668,15,38.0257390825,-123.3132609,2017-09-12,Dry,Trawl,0.0,2.0,0.0,13.0,0.0,0.0,10.5,0.0,2.0,0.0,12.5,0.1249222556196843,0.011867614283869935,472506.11229955277,4208717.131085598
CBNMS23-Manta-29Mar2018,147326.043597444,1550.80045892046,19,38.0257390825,-123.3132609,2018-03-29,Wet,Trawl,0.0,2.0,3.0,14.0,0.0,0.0,11.5,2.8333333333333335,2.0,0.0,16.333333333333336,0.11086521387870019,0.010532195318476538,472506.11229955277,4208717.131085598
CBNMS24-Manta-29Mar2018,179921.72050897,1893.91284746285,5,37.975235832500005,-123.4752325,2018-03-29,Wet,Trawl,0.0,1.0,1.0,3.0,0.0,0.0,0.5,0.8333333333333334,1.0,0.0,2.3333333333333335,0.01296860282756692,0.0012320172686188522,458261.7119158676,4203173.901016015
GFNMS25-Manta-11Sept2017,132713.973631324,1396.9891961192,3,31.636902354166665,-122.941632625,2017-09-11,Dry,Trawl,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.006279167977053508,0.0005965209578200834,505534.72636949294,3500191.6882579597
GFNMS25-Manta-30Mar2018,130722.197281897,1376.0231292831302,30,31.636902354166665,-122.941632625,2018-03-30,Wet,Trawl,0.0,0.0,0.0,27.0,3.0,0.0,24.5,0.0,0.0,3.0,27.5,0.21036978089266195,0.019985129184802827,505534.72636949294,3500191.6882579597
GFNMS25-Manta-Blank-11Sept2017,0.0,0.0,11,31.636902354166665,-122.941632625,2017-09-11,Dry,FieldBlank,8.0,0.0,1.0,2.0,0.0,5.5,0.0,0.8333333333333334,0.0,0.0,6.333333333333333,inf,inf,505534.72636949294,3500191.6882579597
GFNMS26-Manta-12Sept2017,155934.7532609533,1641.418455378456,23,37.82065622333333,-123.34108395,2017-09-12,Dry,Trawl,0.0,7.0,3.0,13.0,0.0,0.0,8.0,2.8333333333333335,7.0,0.0,17.833333333333336,0.11436407189800503,0.010864586830310476,469980.9140798204,4185971.5496895155
GFNMS26-Manta-29Mar2018,123717.49828289801,1302.28945560946,11,37.82065622333333,-123.34108395,2018-03-29,Wet,Trawl,0.0,2.0,0.0,9.0,0.0,0.0,6.5,0.0,2.0,0.0,8.5,0.06870491335480707,0.006526966768706635,469980.9140798204,4185971.5496895155
GFNMS27-Manta-13Sept2017,122998.029421729,1294.7160991761,3,37.740769915,-123.25960725,2017-09-13,Dry,Trawl,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477127.1579015976,4177085.2559502046
GFNMS27-Manta-29Mar2018,113252.496665897,1192.13154385154,10,37.740769915,-123.25960725,2018-03-29,Wet,Trawl,0.0,1.0,1.0,7.0,1.0,0.0,4.5,0.8333333333333334,1.0,1.0,7.333333333333333,0.06475206771791701,0.0061514464332021535,477127.1579015976,4177085.2559502046
GFNMS28-Manta-13Sept2017,123790.69100254099,1303.05990528991,8,37.8058939175,-122.74156624999999,2017-09-13,Dry,Trawl,0.0,2.0,1.0,5.0,0.0,0.0,2.5,0.8333333333333334,2.0,0.0,5.333333333333334,0.0430834765533691,0.00409293027257005,522749.48711459915,4184310.352861616
GFNMS28-Manta-30Mar2018,153066.22156772198,1611.22338492338,16,37.8058939175,-122.74156624999999,2018-03-30,Wet,Trawl,0.0,1.0,1.0,13.0,1.0,0.0,10.5,0.8333333333333334,1.0,1.0,13.333333333333334,0.08710826723735511,0.008275285387548782,522749.48711459915,4184310.352861616
LSB14-Manta-06Mar2018,92559.2018018018,974.3073873873869,26,37.4806577775,-122.07805429166666,2018-03-06,Wet,Trawl,0.0,6.0,0.0,20.0,0.0,0.0,17.5,0.0,6.0,0.0,23.5,0.2538915585110689,0.02411969805855156,581512.7867879272,4148594.544105046
LSB14-Manta-24Aug2017,167410.437325787,1762.21512974513,166,37.4806577775,-122.07805429166666,2017-08-24,Dry,Trawl,1.0,24.0,3.0,122.0,16.0,0.0,119.5,2.8333333333333335,24.0,16.0,162.33333333333331,0.9696727153124064,0.09211890795467842,581512.7867879272,4148594.544105046
LSB14-Manta-Blank-06Mar2018,0.0,0.0,3,37.4806577775,-122.07805429166666,2018-03-06,Wet,FieldBlank,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,inf,inf,581512.7867879272,4148594.544105046
LSB15-Manta-06Mar2018,179980.8976014476,1894.5357642257638,101,37.46991972166667,-122.08707361666669,2018-03-06,Wet,Trawl,0.0,7.0,0.0,94.0,0.0,0.0,89.0,0.0,7.0,0.0,96.0,0.5333899390399965,0.050672044208799685,580726.8858080489,4147395.4306232235
LSB15-Manta-24Aug2017,124083.46188111199,1306.1417040117,46,37.46991972166667,-122.08707361666669,2017-08-24,Dry,Trawl,0.0,6.0,3.0,37.0,0.0,0.0,34.5,2.8333333333333335,6.0,0.0,43.333333333333336,0.34922730778459643,0.03317659423953679,580726.8858080489,4147395.4306232235
LSB16-Manta-06Mar2018,90061.3055825056,948.013742973743,48,37.45875958250001,-122.04000665000001,2018-03-06,Wet,Trawl,0.0,11.0,0.0,36.0,1.0,0.0,33.5,0.0,11.0,1.0,45.5,0.5052114191073682,0.04799508481519999,584901.5727918637,4146198.644192259
LSB16-Manta-24Aug2017,99559.2289250789,1047.99188342188,16,37.45875958250001,-122.04000665000001,2017-08-24,Dry,Trawl,0.0,0.0,4.0,12.0,0.0,0.0,9.5,3.8333333333333335,0.0,0.0,13.333333333333334,0.13392362995666668,0.012722744845883375,584901.5727918637,4146198.644192259
MBNMS-29-Manta-17Nov17,115913.908535459,1220.14640563641,34,37.805688833333335,-122.49137094999999,2017-11-17,Wet,Trawl,1.0,7.0,5.0,20.0,1.0,0.0,17.5,4.833333333333333,7.0,1.0,30.333333333333332,0.2616884696287687,0.024860404614733034,544773.990739054,4184377.972477549
MBNMS29-Manta-11Jan18,151284.67962578,1592.47031185031,61,37.805688833333335,-122.49137094999999,2018-01-11,Wet,Trawl,1.0,4.0,7.0,43.0,6.0,0.0,40.5,6.833333333333333,4.0,6.0,57.333333333333336,0.37897646658705897,0.03600276432577073,544773.990739054,4184377.972477549
MBNMS29-Manta-13Sept2017,165181.952606453,1738.7573958574,4,37.805688833333335,-122.49137094999999,2017-09-13,Dry,Trawl,0.0,0.0,0.0,4.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.009080895196666909,0.0008626850436833563,544773.990739054,4184377.972477549
MBNMS29-Manta-30Mar2018,314423.465249865,3309.7206868406897,112,37.805688833333335,-122.49137094999999,2018-03-30,Wet,Trawl,0.0,3.0,61.0,45.0,3.0,0.0,40.0,60.66666666666667,3.0,3.0,106.66666666666667,0.3392452487027364,0.03222829862675991,544773.990739054,4184377.972477549
MBNMS29-Manta-BLANK-11Jan18,0.0,0.0,2,37.805688833333335,-122.49137094999999,2018-01-11,Wet,FieldBlank,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,544773.990739054,4184377.972477549
MBNMS30-Manta-27Sept2017,127819.405166705,1345.4674228074198,10,37.672873249999995,-122.6058975,2017-09-27,Dry,Trawl,0.0,0.0,0.0,8.0,2.0,0.0,5.5,0.0,0.0,2.0,7.5,0.05867653655732734,0.005574270972946102,534754.352012546,4169593.6880570375
MBNMS30-Manta-31Mar2018,96595.7024255024,1016.7968676368698,4,37.672873249999995,-122.6058975,2018-03-31,Wet,Trawl,0.0,0.0,0.0,4.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.015528641154163629,0.0014752209096455411,534754.352012546,4169593.6880570375
MBNMS31-Manta-27Sept2017,116409.12736197699,1225.35923538924,5,37.51427975,-122.579540675,2017-09-27,Dry,Trawl,0.0,0.0,0.0,3.0,2.0,0.0,0.5,0.0,0.0,2.0,2.5,0.021475979217902643,0.002040218025700737,537157.439422551,4152008.6019441495
MBNMS31-Manta-31Mar2018,100439.098852699,1057.2536721336699,7,37.51427975,-122.579540675,2018-03-31,Wet,Trawl,0.0,0.0,0.0,7.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.044803269358276165,0.004256310589036251,537157.439422551,4152008.6019441495
MBNMS32-Manta-27Sept2017,116993.111827212,1231.50644028644,4,37.447350667500004,-122.916995075,2017-09-27,Dry,Trawl,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.008547511766991098,0.0008120136178641557,507341.960362538,4144503.545346548
MBNMS32-Manta-31Mar2018,132897.73407638402,1398.92351659352,10,37.447350667500004,-122.916995075,2018-03-31,Wet,Trawl,0.0,0.0,0.0,10.0,0.0,0.0,7.5,0.0,0.0,0.0,7.5,0.05643437077481935,0.005361265223607823,507341.960362538,4144503.545346548
SB10-Manta-19Mar2018,55584.42004697,585.099158389158,14,37.6538958325,-122.242195,2018-03-19,Wet,Trawl,0.0,1.0,5.0,6.0,2.0,0.0,3.5,4.833333333333333,1.0,2.0,11.333333333333332,0.2038940646273979,0.019369936139602795,566845.2273688106,4167685.2303171814
SB10-Manta-23Aug2017,146310.689273889,1540.11251867252,20,37.6538958325,-122.242195,2017-08-23,Dry,Trawl,2.0,0.0,2.0,16.0,0.0,0.0,13.5,1.8333333333333333,0.0,0.0,15.333333333333334,0.10479981612710344,0.0099559825320748,566845.2273688106,4167685.2303171814
SB11-Manta-19Mar2018,135953.140798491,1431.08569261569,356,37.6124279175,-122.2396196,2018-03-19,Wet,Trawl,0.0,33.0,12.0,306.0,5.0,0.0,303.5,11.833333333333334,33.0,5.0,353.3333333333333,2.598934686305203,0.2468987951989951,567109.6883631119,4163086.3008992393
SB11-Manta-23Aug2017,178437.62132132103,1878.29075075075,44,37.6124279175,-122.2396196,2017-08-23,Dry,Trawl,10.0,0.0,9.0,25.0,0.0,7.5,22.5,8.833333333333334,0.0,0.0,38.833333333333336,0.21762974111498787,0.020674825405923823,567109.6883631119,4163086.3008992393
SB12-Manta-19Mar2018,210748.3138138138,2218.4033033032997,171,37.59162638833333,-122.27490778333333,2018-03-19,Wet,Trawl,3.0,4.0,67.0,79.0,18.0,0.5,74.0,66.66666666666667,4.0,18.0,163.16666666666669,0.7742252534025812,0.07355139907324533,564013.0004117511,4160753.7943091723
SB12-Manta-23Aug2017,557440.424674675,5867.79394394394,73,37.59162638833333,-122.27490778333333,2017-08-23,Dry,Trawl,0.0,10.0,2.0,56.0,5.0,0.0,53.5,1.8333333333333333,10.0,5.0,70.33333333333334,0.12617192837132368,0.011986333195275764,564013.0004117511,4160753.7943091723
SB13-Manta-19Mar2018,84867.7370716871,893.344600754601,119,37.55744744416667,-122.20029837499999,2018-03-19,Wet,Trawl,0.0,23.0,21.0,75.0,0.0,0.0,72.5,20.833333333333332,23.0,0.0,116.33333333333333,1.3707604013886632,0.13022223813192302,570632.0924123265,4157015.218381247
SB13-Manta-23Aug2017,106680.724817125,1122.954998075,316,37.55744744416667,-122.20029837499999,2017-08-23,Dry,Trawl,5.0,22.0,11.0,273.0,5.0,2.5,270.5,10.833333333333334,22.0,5.0,310.8333333333333,2.9136784912754603,0.27679945667116873,570632.0924123265,4157015.218381247
SB13-Manta-BLANK-23Aug2017,0.0,0.0,10,37.55744744416667,-122.20029837499999,2017-08-23,Dry,FieldBlank,4.0,0.0,0.0,6.0,0.0,1.5,3.5,0.0,0.0,0.0,5.0,inf,inf,570632.0924123265,4157015.218381247
SFBay9-18-Manta-18Sept2017,95427.73349503349,1004.5024578424599,42,,,2017-09-18,Dry,Trawl,0.0,3.0,2.0,30.0,7.0,0.0,27.5,1.8333333333333333,3.0,7.0,39.33333333333333,0.4121792679418549,0.03915703045447613,,
SPB2-Manta-16Nov2017,125002.264106414,1315.81330638331,13,38.044599165,-122.424675425,2017-11-16,Wet,Trawl,0.0,3.0,0.0,10.0,0.0,0.0,7.5,0.0,3.0,0.0,10.5,0.08399847854804762,0.007979855462064495,550481.5601760965,4210919.60674512
SPB2-Manta-21Aug2017,108929.454331254,1146.6258350658402,8,38.044599165,-122.424675425,2017-08-21,Dry,Trawl,1.0,0.0,0.0,7.0,0.0,0.0,4.5,0.0,0.0,0.0,4.5,0.04131114056915698,0.0039245583540698835,550481.5601760965,4210919.60674512
SPB3-Manta-17Nov17,149338.064741665,1571.9796288596299,212,38.03131629,-122.34751915000001,2017-11-17,Wet,Trawl,0.0,9.0,0.0,198.0,5.0,0.0,195.5,0.0,9.0,5.0,209.5,1.402857338230592,0.1332714471319064,557262.0070739432,4209490.517139243
SPB3-Manta-21Aug2017,185691.487025487,1954.6472318472302,120,38.03131629,-122.34751915000001,2017-08-21,Dry,Trawl,0.0,30.0,8.0,81.0,1.0,0.0,78.5,7.833333333333333,30.0,1.0,117.33333333333333,0.631872441827281,0.06002788197359173,557262.0070739432,4209490.517139243
SPB3-Manta-Blank-21Aug2017,0.0,0.0,3,38.03131629,-122.34751915000001,2017-08-21,Dry,FieldBlank,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,inf,inf,557262.0070739432,4209490.517139243
SUB1-Manta-17Nov17,127543.764499115,1342.56594209594,18,38.102041667499996,-122.06010624999999,2017-11-17,Wet,Trawl,0.0,1.0,1.0,16.0,0.0,0.0,13.5,0.8333333333333334,1.0,0.0,15.333333333333334,0.12022017221735469,0.011420916360648757,582406.5760194766,4217553.953346454
SUB1-Manta-21Aug2017,142901.777288827,1504.22923461923,12,38.102041667499996,-122.06010624999999,2017-08-21,Dry,Trawl,0.0,0.0,10.0,2.0,0.0,0.0,0.0,9.833333333333334,0.0,0.0,9.833333333333334,0.0688118336937029,0.006537124200901782,582406.5760194766,4217553.953346454
