SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,Fiber Bundle,Film,Foam,Fragment,Sphere,Fiber Bundle_adj,Fragment_adj,Foam_adj,Film_adj,Sphere_adj,count,part_per_m3,part_per_m2,x,y
CB-4-Manta-21Aug2017,201279.083007418,2118.72718955177,5,37.923935,-122.4273775,2017-08-21,Dry,Trawl,0.0,0.0,0.0,5.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,0.012420565329721142,0.0011799537063235076,550326.8168000631,4197530.07516189
CB4-Manta-16Nov2017,102764.13567028599,1081.72774389774,630,37.923935,-122.4273775,2017-11-16,Wet,Trawl,0.0,13.0,72.0,476.0,69.0,0.0,473.5,71.83333333333333,13.0,69.0,627.3333333333334,6.10459407108822,0.5799364367533848,550326.8168000631,4197530.07516189
CB5-Manta-16Nov2017,133796.291506891,1408.38201586202,254,37.84288166625,-122.406971025,2017-11-16,Wet,Trawl,0.0,3.0,209.0,27.0,15.0,0.0,24.5,208.83333333333334,3.0,15.0,251.33333333333334,1.8784775758929668,0.17845536970983064,552177.4812015315,4188548.3117150743
CB5-Manta-22Aug2017,137527.562916763,1447.6585570185598,62,37.84288166625,-122.406971025,2017-08-22,Dry,Trawl,0.0,8.0,8.0,46.0,0.0,0.0,43.5,7.833333333333333,8.0,0.0,59.333333333333336,0.4314286683698755,0.04098572349513812,552177.4812015315,4188548.3117150743
CB5-Manta-5Nov2017,177321.0430237932,1866.537294987292,64,37.84288166625,-122.406971025,2017-11-05,Dry,Trawl,1.0,6.0,24.0,32.0,1.0,0.0,27.0,23.666666666666664,6.0,1.0,57.66666666666666,0.3252105090478678,0.030894998359547524,552177.4812015315,4188548.3117150743
CB6-Manta-16Nov2017,126039.420516671,1326.73074228074,60,37.8310529175,-122.331483325,2017-11-16,Wet,Trawl,0.0,7.0,24.0,27.0,2.0,0.0,24.5,23.833333333333332,7.0,2.0,57.33333333333333,0.45488413940898714,0.04321399324385402,558828.7091482126,4187280.7626295253
CB6-Manta-22Aug2017,82006.99183799191,863.2314930314931,10,37.8310529175,-122.331483325,2017-08-22,Dry,Trawl,2.0,0.0,1.0,6.0,1.0,0.0,3.5,0.8333333333333334,0.0,1.0,5.333333333333333,0.06503510510261791,0.006178334984748707,558828.7091482126,4187280.7626295253
CB7-Manta-16Nov2017,264901.582597982,2788.43771155771,324,37.7788545825,-122.349332925,2017-11-16,Wet,Trawl,0.0,9.0,146.0,113.0,56.0,0.0,108.0,145.66666666666666,9.0,56.0,318.66666666666663,1.2029624872052167,0.11428143628449541,557298.26395578,4181478.2562790792
CB7-Manta-22Aug2017,211170.585252065,2222.8482658112102,165,37.7788545825,-122.349332925,2017-08-22,Dry,Trawl,0.0,4.0,148.0,12.0,1.0,0.0,9.5,147.83333333333334,4.0,1.0,162.33333333333334,0.7687308018754753,0.07302942617817017,557298.26395578,4181478.2562790792
CB8-Manta-11Jan18,282326.121748672,2971.85391314391,1271,37.76069111166666,-122.22956166666667,2018-01-11,Wet,Trawl,43.0,47.0,157.0,1014.0,10.0,40.5,1011.5,156.83333333333334,47.0,10.0,1265.8333333333333,4.483585597722991,0.42594063178368485,567862.163133207,4179543.1501044957
CB8-Manta-25Aug2017,355042.31006776,3737.28747439748,732,37.76069111166666,-122.22956166666667,2017-08-25,Dry,Trawl,0.0,29.0,220.0,469.0,14.0,0.0,464.0,219.66666666666669,29.0,14.0,726.6666666666667,2.0467044238417165,0.19443692026496273,567862.163133207,4179543.1501044957
CB9-Manta-11Jan18,75435.21998922,794.054947254947,4959,37.6957708325,-122.301635425,2018-01-11,Wet,Trawl,0.0,159.0,627.0,3932.0,241.0,0.0,3929.5,626.8333333333334,159.0,241.0,4956.333333333333,65.70317331932768,6.241801465336132,561567.365255054,4172290.4746959745
CB9-Manta-22Aug2017,152776.565272965,1608.17437129437,30,37.6957708325,-122.301635425,2017-08-22,Dry,Trawl,0.0,2.0,0.0,26.0,2.0,0.0,23.5,0.0,2.0,2.0,27.5,0.1800014285624625,0.017100135713433922,561567.365255054,4172290.4746959745
CB9-Manta-Blank-11Jan18,0.0,0.0,2,37.6957708325,-122.301635425,2018-01-11,Wet,FieldBlank,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,561567.365255054,4172290.4746959745
CBNMS22-Manta-12Sept2017,30603.9005621006,322.146321706322,5,38.0576588625,-123.09298554166668,2017-09-12,Dry,Trawl,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.8333333333333334,2.0,0.0,2.8333333333333335,0.09258079137932143,0.00879517518103554,491842.5131656038,4212216.502460302
