SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,FibersYN,Fiber,Fiber Bundle,Film,Foam,Fragment,Sphere,Fiber_adj,Fiber Bundle_adj,Fragment_adj,Foam_adj,Film_adj,Sphere_adj,count,part_per_m3,part_per_m2,part_per_m3_raw,part_per_m2_raw,x,y
CB-4-Manta-21Aug2017,201279.083007418,2118.72718955177,89,37.923935,-122.4273775,2017-08-21,Dry,Trawl,Y,84.0,0.0,0.0,0.0,5.0,0.0,59.285714285714285,0.0,3.571428571428571,0.0,0.0,0.0,62.857142857142854,0.312288499718703,0.02966740747327676,0.4421721257380727,0.04200635194511687,550326.8168000631,4197530.07516189
CB5-Manta-5Nov2017,177321.0430237932,1866.537294987292,612,37.84288166625,-122.406971025,2017-11-05,Dry,Trawl,Y,548.0,1.0,6.0,24.0,32.0,1.0,498.57142857142856,0.0,29.142857142857146,23.714285714285715,6.0,1.0,558.4285714285713,3.149251560366925,0.29917889823485866,3.4513670208779503,0.32787986698340615,552177.4812015315,4188548.3117150743
CB6-Manta-22Aug2017,82006.99183799191,863.2314930314931,156,37.8310529175,-122.331483325,2017-08-22,Dry,Trawl,Y,146.0,2.0,0.0,1.0,6.0,1.0,121.28571428571428,0.0,4.571428571428571,0.8571428571428572,0.0,1.0,127.71428571428571,1.5573584989751896,0.14794905740264314,1.902276824251574,0.18071629830389968,558828.7091482126,4187280.7626295253
CB7-Manta-16Nov2017,264901.582597982,2788.43771155771,964,37.7788545825,-122.349332925,2017-11-16,Wet,Trawl,Y,640.0,0.0,9.0,146.0,113.0,56.0,590.5714285714286,0.0,110.14285714285714,145.71428571428572,9.0,56.0,911.4285714285713,3.4406309033335103,0.32685993581668293,3.6390873566919324,0.34571329888573304,557298.26395578,4181478.2562790792
CB7-Manta-22Aug2017,211170.585252065,2222.8482658112102,514,37.7788545825,-122.349332925,2017-08-22,Dry,Trawl,Y,349.0,0.0,4.0,148.0,12.0,1.0,324.2857142857143,0.0,10.571428571428571,147.85714285714286,4.0,1.0,487.71428571428567,2.3095749113548303,0.21940961657870892,2.434051122160129,0.23123485660521229,557298.26395578,4181478.2562790792
CB8-Manta-11Jan18,282326.121748672,2971.85391314391,2675,37.76069111166666,-122.22956166666667,2018-01-11,Wet,Trawl,Y,1404.0,43.0,47.0,157.0,1014.0,10.0,1379.2857142857142,40.857142857142854,1012.5714285714286,156.85714285714286,47.0,10.0,2646.5714285714284,9.374164218950376,0.8905456008002873,9.47485830723555,0.9001115391873789,567862.163133207,4179543.1501044957
CB9-Manta-22Aug2017,152776.565272965,1608.17437129437,57,37.6957708325,-122.301635425,2017-08-22,Dry,Trawl,Y,27.0,0.0,2.0,0.0,26.0,2.0,2.2857142857142847,0.0,24.571428571428573,0.0,2.0,2.0,30.857142857142858,0.20197562893242546,0.0191876847485804,0.3730938701112859,0.03544391766057213,561567.365255054,4172290.4746959745
CBNMS22-Manta-12Sept2017,30603.9005621006,322.146321706322,43,38.0576588625,-123.09298554166668,2017-09-12,Dry,Trawl,Y,38.0,0.0,2.0,1.0,2.0,0.0,13.285714285714285,0.0,0.5714285714285714,0.8571428571428572,2.0,0.0,16.714285714285715,0.546148870153644,0.051884142664596206,1.4050496574038194,0.13347971745336287,491842.5131656038,4212216.502460302
CBNMS23-Manta-12Sept2017,100062.234211134,1053.28667590668,36,38.0257390825,-123.3132609,2017-09-12,Dry,Trawl,Y,21.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,11.571428571428571,0.0,2.0,0.0,13.571428571428571,0.13562987752994293,0.0128848383653445,0.35977609618469075,0.03417872913754541,472506.11229955277,4208717.131085598
CBNMS24-Manta-13Sept2017,145044.610953261,1526.78537845538,95,37.975235832500005,-123.4752325,2017-09-13,Dry,Trawl,Y,95.0,0.0,0.0,0.0,0.0,0.0,70.28571428571428,0.0,0.0,0.0,0.0,0.0,70.28571428571428,0.48457997731720664,0.0460350978451346,0.654970904300696,0.062222235908566084,458261.7119158676,4203173.901016015
GFNMS25-Manta-11Sept2017,132713.973631324,1396.9891961192,257,31.636902354166665,-122.941632625,2017-09-11,Dry,Trawl,Y,254.0,0.0,0.0,1.0,2.0,0.0,229.28571428571428,0.0,0.5714285714285714,0.8571428571428572,0.0,0.0,230.71428571428572,1.7384325056470995,0.1651510880364745,1.9364954041233018,0.18396706339171368,505534.72636949294,3500191.6882579597
GFNMS25-Manta-Blank-11Sept2017,0.0,0.0,58,31.636902354166665,-122.941632625,2017-09-11,Dry,FieldBlank,Y,47.0,8.0,0.0,1.0,2.0,0.0,22.285714285714285,5.857142857142858,0.5714285714285714,0.8571428571428572,0.0,0.0,29.571428571428573,inf,inf,inf,inf,505534.72636949294,3500191.6882579597
GFNMS26-Manta-DUP-12Sept2017,73678.5947177947,775.564154924155,48,37.82065622333333,-123.34108395,2017-09-12,Dry,Trawl,Y,37.0,0.0,7.0,0.0,4.0,0.0,12.285714285714285,0.0,2.571428571428571,0.0,7.0,0.0,21.857142857142854,0.2966552625068454,0.028182249938150297,0.6514782235444447,0.06189043123672223,469980.9140798204,4185971.5496895155
GFNMS27-Manta-13Sept2017,122998.029421729,1294.7160991761,78,37.740769915,-123.25960725,2017-09-13,Dry,Trawl,Y,75.0,2.0,0.0,0.0,1.0,0.0,50.285714285714285,0.0,0.0,0.0,0.0,0.0,50.285714285714285,0.4088334953180212,0.03883918205521186,0.6341565012603397,0.06024486761973204,477127.1579015976,4177085.2559502046
