SampleID,volume_l,area_m2,count_preblank,lat,lon,SampleDate,Season,SampleType,count,part_per_m3,part_per_m2,x,y
LSB15-Manta-06Mar2018,179980.8976014476,1894.5357642257638,101,37.46991972166667,-122.08707361666669,2018-03-06,Wet,Trawl,44.5,0.24724846132583175,0.02348860382595402,580726.8858080489,4147395.4306232235
LSB15-Manta-24Aug2017,124083.46188111199,1306.1417040117,46,37.46991972166667,-122.08707361666669,2017-08-24,Dry,Trawl,12.5,0.1007386464763259,0.009570171415250997,580726.8858080489,4147395.4306232235
LSB16-Manta-06Mar2018,90061.3055825056,948.013742973743,48,37.45875958250001,-122.04000665000001,2018-03-06,Wet,Trawl,14.5,0.16100144125399646,0.015295136919129667,584901.5727918637,4146198.644192259
LSB16-Manta-24Aug2017,99559.2289250789,1047.99188342188,16,37.45875958250001,-122.04000665000001,2017-08-24,Dry,Trawl,0.0,0.0,0.0,584901.5727918637,4146198.644192259
MBNMS-29-Manta-17Nov17,115913.908535459,1220.14640563641,159,37.805688833333335,-122.49137094999999,2017-11-17,Wet,Trawl,125.5,1.0827000968706748,0.10285650920271415,544773.990739054,4184377.972477549
MBNMS29-Manta-11Jan18,151284.67962578,1592.47031185031,207,37.805688833333335,-122.49137094999999,2018-01-11,Wet,Trawl,173.5,1.1468444817358383,0.10895022576490503,544773.990739054,4184377.972477549
MBNMS29-Manta-13Sept2017,165181.952606453,1738.7573958574,32,37.805688833333335,-122.49137094999999,2017-09-13,Dry,Trawl,0.0,0.0,0.0,544773.990739054,4184377.972477549
MBNMS29-Manta-30Mar2018,314423.465249865,3309.7206868406897,112,37.805688833333335,-122.49137094999999,2018-03-30,Wet,Trawl,45.0,0.14311908929646694,0.013596313483164337,544773.990739054,4184377.972477549
MBNMS29-Manta-BLANK-11Jan18,0.0,0.0,14,37.805688833333335,-122.49137094999999,2018-01-11,Wet,FieldBlank,0.0,,,544773.990739054,4184377.972477549
MBNMS30-Manta-27Sept2017,127819.405166705,1345.4674228074198,136,37.672873249999995,-122.6058975,2017-09-27,Dry,Trawl,102.5,0.8019126662834736,0.07618170329693005,534754.352012546,4169593.6880570375
MBNMS30-Manta-31Mar2018,96595.7024255024,1016.7968676368698,265,37.672873249999995,-122.6058975,2018-03-31,Wet,Trawl,231.5,2.3965869514592533,0.22767576038862852,534754.352012546,4169593.6880570375
MBNMS31-Manta-27Sept2017,116409.12736197699,1225.35923538924,5,37.51427975,-122.579540675,2017-09-27,Dry,Trawl,0.0,0.0,0.0,537157.439422551,4152008.6019441495
MBNMS31-Manta-31Mar2018,100439.098852699,1057.2536721336699,7,37.51427975,-122.579540675,2018-03-31,Wet,Trawl,0.0,0.0,0.0,537157.439422551,4152008.6019441495
MBNMS32-Manta-27Sept2017,116993.111827212,1231.50644028644,51,37.447350667500004,-122.916995075,2017-09-27,Dry,Trawl,17.5,0.14958145592234423,0.014210238312622725,507341.960362538,4144503.545346548
MBNMS32-Manta-31Mar2018,132897.73407638402,1398.92351659352,10,37.447350667500004,-122.916995075,2018-03-31,Wet,Trawl,0.0,0.0,0.0,507341.960362538,4144503.545346548
Manta_LabBlank1,0.0,0.0,1,,,1950-01-01,None,LabBlank,0.0,,,,
Manta_LabBlank2,0.0,0.0,2,,,1950-01-02,None,LabBlank,0.0,,,,
Manta_LabBlank3,0.0,0.0,2,,,1950-01-03,None,LabBlank,0.0,,,,
SB10-Manta-19Mar2018,55584.42004697,585.099158389158,434,37.6538958325,-122.242195,2018-03-19,Wet,Trawl,400.5,7.205256430877017,0.6844993609333165,566845.2273688106,4167685.2303171814
SB10-Manta-23Aug2017,146310.689273889,1540.11251867252,52,37.6538958325,-122.242195,2017-08-23,Dry,Trawl,18.5,0.12644325641422263,0.012012109359351117,566845.2273688106,4167685.2303171814
SB11-Manta-19Mar2018,135953.140798491,1431.08569261569,877,37.6124279175,-122.2396196,2018-03-19,Wet,Trawl,843.5,6.204343607259733,0.5894126426896765,567109.6883631119,4163086.3008992393
SB11-Manta-23Aug2017,178437.62132132103,1878.29075075075,100,37.6124279175,-122.2396196,2017-08-23,Dry,Trawl,66.5,0.37267925624412085,0.03540452934319144,567109.6883631119,4163086.3008992393
SB12-Manta-19Mar2018,210748.3138138138,2218.4033033032997,1906,37.59162638833333,-122.27490778333333,2018-03-19,Wet,Trawl,1839.0,8.726048463783535,0.828974604059437,564013.0004117511,4160753.7943091723
SB12-Manta-23Aug2017,557440.424674675,5867.79394394394,73,37.59162638833333,-122.27490778333333,2017-08-23,Dry,Trawl,39.5,0.07085959010427419,0.006731661059906057,564013.0004117511,4160753.7943091723
SB13-Manta-19Mar2018,84867.7370716871,893.344600754601,396,37.55744744416667,-122.20029837499999,2018-03-19,Wet,Trawl,362.5,4.2713522536108055,0.4057784640930266,570632.0924123265,4157015.218381247
